,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
410,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
411,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine,Beer,&SpiritsAvailable,NA,NA,NA
412,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,CVSpharmacy,Cafe,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,AcceptsWIC,Bakery,BeerAvailable,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,NA,NA,NA,NA,NA
415,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
417,BeautyConcierge,CVSpharmacy,Cafe-Pizza,MobileKiosk,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
419,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
420,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
421,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
422,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
423,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
424,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
425,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
426,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
427,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
428,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
429,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
430,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
431,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
432,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
433,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
434,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,CliniccarebyKaiserPermanente,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
435,AcceptsWIC,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,WhichWichSuperiorSandwiches,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
436,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,WhichWichSuperiorSandwiches,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
438,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
439,AcceptsWIC,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
440,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,Optical,PhotoLab,Starbucks,,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA
441,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
442,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
443,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
444,CVSpharmacy,FreshGrocery,MobileKiosk,Optical,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,PizzaHutSaladsandSnacks,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
446,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,AcceptsWIC,CVSpharmacy,CliniccarebyKaiserPermanente,FreshGrocery,In-StoreAppleStore,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
448,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
449,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
450,AcceptsWIC,CVSpharmacy,FreshGrocery,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
454,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
455,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
456,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
457,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
458,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
459,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,CliniccarebyKaiserPermanente,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA
460,AcceptsWIC,BeautyConcierge,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,AcceptsWIC,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
462,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
463,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,AcceptsWIC,BeautyConcierge,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
465,BeautyConcierge,CVSpharmacy,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
466,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
467,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
468,AcceptsWIC,BeautyConcierge,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
471,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,SunBoutique,WhichWichSuperiorSandwiches,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
472,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
473,AcceptsWIC,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,BeautyConcierge,Cafe-Pizza,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe,CliniccarebyKaiserPermanente,FreshGrocery,MobileKiosk,Optical,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
476,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,WhichWichSuperiorSandwiches,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
477,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,PizzaHutSaladsandSnacks,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
479,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
480,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
482,AcceptsWIC,BeautyConcierge,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
484,AcceptsWIC,FreshGrocery,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,AcceptsWIC,BeautyConcierge,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
486,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
487,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
488,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
489,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe,FreshGrocery,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
490,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
492,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,SunBoutique,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
493,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,CliniccarebyKaiserPermanente,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
494,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
495,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
496,CVSpharmacy,FreshGrocery,MobileKiosk,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,PizzaHutSaladsandSnacks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
499,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
500,AcceptsWIC,BeautyConcierge,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe,FreshGrocery,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
502,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
503,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Optical,PhotoLab,PizzaHutSaladsandSnacks,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
504,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
506,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
507,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
508,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Optical,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
510,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,CliniccarebyKaiserPermanente,FreshGrocery,MobileKiosk,PhotoLab,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
511,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
512,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
513,BeautyConcierge,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
514,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
515,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
516,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
518,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
519,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,WhichWichSuperiorSandwiches,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
520,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
521,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,PizzaHutSaladsandSnacks,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
522,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
523,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
524,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
525,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,In-StoreAppleStore,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
526,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,WhichWichSuperiorSandwiches,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
527,CVSpharmacy,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,In-StoreAppleStore,MobileKiosk,Optical,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA
529,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
530,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,WhichWichSuperiorSandwiches,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
531,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA
532,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,WhichWichSuperiorSandwiches,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
533,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,In-StoreAppleStore,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA
534,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
535,BeautyConcierge,FreshGrocery,In-StoreAppleStore,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA
537,CVSpharmacy,FreshGrocery,MobileKiosk,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,AcceptsWIC,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,WhichWichSuperiorSandwiches,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
539,BeautyConcierge,CVSpharmacy,FreshGrocery,In-StoreAppleStore,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
540,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA
542,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,AcceptsWIC,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
546,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
547,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
548,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
549,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
